Timestamp,Loop_closures,Navigation_status
1592354622.989466,0,Active
1592354627.976539,0,Active
1592354632.982440,0,Active
1592354637.981682,0,Active
1592354642.983515,0,Active
1592354647.984353,0,Active
1592354652.975080,0,Active
1592354657.979564,0,Active
1592354662.980432,0,Active
1592354667.981589,0,Active
1592354672.986411,0,Active
1592354677.984886,0,Active
1592354682.987701,0,Active
1592354687.992382,0,Active
1592354692.993392,0,Active
1592354697.977449,0,Active
1592354702.983226,0,Active
1592354707.985542,0,Active
1592354712.982433,0,Active
1592354717.980044,0,Active
1592354722.976867,0,Active
1592354728.025879,0,Active
1592354732.974125,0,Active
1592354737.984085,0,Active
1592354742.984450,0,Active
1592354747.987022,0,Active
1592354752.982129,0,Active
1592354757.976473,0,Active
1592354762.981193,1,Active
1592354767.980939,5,Active
1592354772.979035,10,Active
1592354777.994439,13,Active
1592354782.988941,13,Active
1592354787.986307,13,Active
1592354792.985144,13,Active
1592354797.993521,13,Active
1592354802.996122,13,Active
1592354807.985907,13,Active
1592354812.984697,13,Active
1592354817.985812,13,Active
1592354822.989125,13,Active
1592354827.982526,13,Active
1592354832.975764,13,Active
1592354837.975035,13,Active
1592354842.974405,13,Active
1592354847.983155,13,Active
1592354852.986699,13,Waiting
1592354857.987512,13,Waiting
