Timestamp,Loop_closures,
1592343190.569639,0
1592343195.561696,0
1592343200.568480,0
1592343205.559579,1
1592343210.580201,1
1592343215.568660,1
1592343220.561965,1
1592343225.560112,1
1592343230.559356,1
1592343235.560261,1
1592343240.565902,1
1592343245.569657,1
1592343250.581050,1
1592343255.566436,1
1592343260.578499,1
1592343265.589845,1
1592343270.574910,1
1592343275.568331,1
1592343280.609727,1
1592343285.569717,1
1592343290.583666,1
1592343295.610434,1
1592343300.563761,1
1592343305.555201,1
1592343310.559386,1
1592343315.561693,1
1592343320.560133,1
1592343325.566734,1
1592343330.559024,1
1592343335.559151,1
1592343340.570632,1
1592343345.557355,4
1592343350.567885,4
1592343355.605579,4
1592343360.559215,4
1592343365.563020,4
1592343370.562420,4
1592343375.561307,4
1592343380.566304,4
1592343385.562095,4
1592343390.573291,4
1592343395.558751,6
1592343400.566975,9
1592343405.560496,13
1592343410.579770,16
1592343415.566104,16
1592343420.564154,18
1592343425.588885,18
1592343430.556151,18
1592343435.558591,18
1592343440.582258,18
