Tiempo,target_lineal_x,target_lineal_y,target_w,odom_lineal_x,odom_lineal_y,odom_w,enc_lineal_x,enc_lineal_y,enc_w
1603674477.069652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1603674477.159237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1603674477.259221,0.000000,0.000000,0.000000,-0.011802,-0.000144,0.024386,0.000000,0.000000,0.000000
1603674477.359250,0.000000,0.000000,0.000000,-0.011802,-0.000144,0.024386,0.000000,0.000000,0.000000
1603674477.459260,0.000000,0.000000,0.000000,0.047976,-0.000668,-0.027826,0.000000,0.000000,0.000000
1603674477.559266,0.000000,0.000000,0.000000,0.060929,-0.000230,-0.007559,0.000000,0.000000,0.000000
1603674477.659259,0.000000,0.000000,0.000000,0.060929,-0.000230,-0.007559,0.000000,0.000000,0.000000
1603674477.759218,0.000000,0.000000,0.000000,-0.065010,-0.000473,0.014561,0.000000,0.000000,0.000000
1603674477.859216,0.000000,0.000000,0.000000,0.006924,-0.000005,-0.001320,0.000000,0.000000,0.000000
1603674477.959263,0.000000,0.000000,0.000000,0.055649,-0.000556,-0.019989,0.000000,0.000000,0.000000
1603674478.059266,0.000000,0.000000,0.000000,-0.107692,-0.000963,0.017893,0.000000,0.000000,0.000000
1603674478.159257,0.000000,0.000000,0.000000,-0.107692,-0.000963,0.017893,0.000000,0.000000,0.000000
1603674478.259261,0.000000,0.000000,0.000000,0.010421,0.000001,0.000161,0.000000,0.000000,0.000000
1603674478.359209,0.000000,0.000000,0.000000,0.010421,0.000001,0.000161,0.000000,0.000000,0.000000
1603674478.459230,0.000000,0.000000,0.000000,0.014840,-0.000061,-0.008209,0.000000,0.000000,0.000000
1603674478.559259,0.000000,0.000000,0.000000,0.009282,-0.000033,-0.007204,0.000000,0.000000,0.000000
1603674478.659209,0.000000,0.000000,0.000000,0.009282,-0.000033,-0.007204,0.000000,0.000000,0.000000
1603674478.759273,0.000000,0.000000,0.000000,0.035121,0.000056,0.003174,0.000000,0.000000,0.000000
1603674478.859257,0.000000,0.000000,0.000000,0.035121,0.000056,0.003174,0.000000,0.000000,0.000000
1603674478.959289,0.000000,0.000000,0.000000,-0.023304,-0.000309,0.026510,0.000000,0.000000,0.000000
1603674479.059216,0.000000,0.000000,0.000000,-0.023304,-0.000309,0.026510,0.000000,0.000000,0.000000
1603674479.159257,0.000000,0.000000,0.000000,-0.023304,-0.000309,0.026510,0.000000,0.000000,0.000000
1603674479.259261,0.000000,0.000000,0.000000,0.001512,0.000004,0.005522,0.000000,0.000000,0.000000
1603674479.359263,0.000000,0.000000,0.000000,0.001512,0.000004,0.005522,0.000000,0.000000,0.000000
1603674479.459308,0.000000,0.000000,0.000000,-0.025620,0.000058,-0.004560,0.000000,0.000000,0.000000
1603674479.559202,0.000000,0.000000,0.000000,0.031570,0.000187,0.011839,0.000000,0.000000,0.000000
1603674479.659219,0.000000,0.000000,0.000000,-0.058668,0.000104,-0.003549,0.000000,0.000000,0.000000
1603674479.759262,0.000000,0.000000,0.000000,-0.023601,0.000176,-0.014926,0.000000,0.000000,0.000000
1603674479.859203,0.000000,0.000000,0.000000,-0.023601,0.000176,-0.014926,0.000000,0.000000,0.000000
1603674479.959219,0.000000,0.000000,0.000000,-0.016376,-0.000106,0.012888,0.000000,0.000000,0.000000
1603674480.059201,0.000000,0.000000,0.000000,0.030331,-0.000187,-0.012313,0.000000,0.000000,0.000000
1603674480.159239,0.000000,0.000000,0.000000,0.070158,-0.000682,-0.019439,0.000000,0.000000,0.000000
1603674480.259232,0.000000,0.000000,0.000000,0.070158,-0.000682,-0.019439,0.000000,0.000000,0.000000
1603674480.359240,0.000000,0.000000,0.000000,-0.064493,-0.000414,0.012836,0.000000,0.000000,0.000000
1603674480.459252,0.000000,0.000000,0.000000,-0.064493,-0.000414,0.012836,0.000000,0.000000,0.000000
1603674480.559211,0.000000,0.000000,0.000000,0.033574,0.000046,0.002752,0.000000,0.000000,0.000000
1603674480.659207,0.000000,0.000000,0.000000,0.033574,0.000046,0.002752,0.000000,0.000000,0.000000
1603674480.759225,0.000000,0.000000,0.000000,-0.046452,-0.000161,0.006952,0.000000,0.000000,0.000000
1603674480.859208,0.000000,0.000000,0.000000,0.023032,0.000070,0.006089,0.000000,0.000000,0.000000
1603674480.959208,0.000000,0.000000,0.000000,0.023032,0.000070,0.006089,0.000000,0.000000,0.000000
1603674481.059270,0.000000,0.000000,0.000000,0.025223,-0.000259,-0.020548,0.000000,0.000000,0.000000
1603674481.159260,0.000000,0.000000,0.000000,-0.017937,-0.000051,0.005674,0.000000,0.000000,0.000000
1603674481.259255,0.000000,0.000000,0.000000,-0.017937,-0.000051,0.005674,0.000000,0.000000,0.000000
1603674481.359270,0.000000,0.000000,0.000000,0.000750,-0.000002,-0.005974,0.000000,0.000000,0.000000
1603674481.459221,0.000000,0.000000,0.000000,-0.000633,-0.000001,0.002597,0.000000,0.000000,0.000000
1603674481.559296,0.000000,0.000000,0.000000,-0.010821,0.000018,-0.003265,0.000000,0.000000,0.000000
1603674481.659209,0.000000,0.000000,0.000000,-0.010821,0.000018,-0.003265,0.000000,0.000000,0.000000
1603674481.759281,0.000000,0.000000,0.000000,0.019686,-0.000094,-0.009537,0.000000,0.000000,0.000000
1603674481.859154,0.000000,0.000000,0.000000,-0.014103,-0.000176,0.025023,0.000000,0.000000,0.000000
1603674481.959212,0.000000,0.000000,0.000000,-0.047852,0.000024,-0.000983,0.000000,0.000000,0.000000
1603674482.059219,0.000000,0.000000,0.000000,-0.047852,0.000024,-0.000983,0.000000,0.000000,0.000000
1603674482.159283,0.000000,0.000000,0.000000,-0.004971,0.000016,-0.006539,0.000000,0.000000,0.000000
1603674482.259226,0.000000,0.000000,0.000000,0.015885,0.000068,0.008552,0.000000,0.000000,0.000000
1603674482.359217,0.000000,0.000000,0.000000,0.015885,0.000068,0.008552,0.000000,0.000000,0.000000
1603674482.459219,0.000000,0.000000,0.000000,-0.029988,-0.000392,0.026166,0.000000,0.000000,0.000000
1603674482.559216,0.000000,0.000000,0.000000,0.012723,-0.000038,-0.005993,0.000000,0.000000,0.000000
1603674482.659258,0.000000,0.000000,0.000000,0.012723,-0.000038,-0.005993,0.000000,0.000000,0.000000
1603674482.759241,0.000000,0.000000,0.000000,-0.022124,0.000029,-0.002580,0.000000,0.000000,0.000000
1603674482.859261,0.000000,0.000000,0.000000,-0.022124,0.000029,-0.002580,0.000000,0.000000,0.000000
1603674482.959261,0.000000,0.000000,0.000000,0.000230,0.000003,0.025036,0.000000,0.000000,0.000000
1603674483.059236,0.000000,0.000000,0.000000,0.000230,0.000003,0.025036,0.000000,0.000000,0.000000
1603674483.159207,0.000000,0.000000,0.000000,-0.018859,0.000260,-0.027618,0.000000,0.000000,0.000000
1603674483.259328,0.000000,0.000000,0.000000,-0.022672,-0.000045,0.003997,0.000000,0.000000,0.000000
1603674483.359330,0.000000,0.000000,0.000000,-0.022672,-0.000045,0.003997,0.000000,0.000000,0.000000
1603674483.459281,0.000000,0.000000,0.000000,0.067981,0.000026,0.000761,0.000000,0.000000,0.000000
1603674483.559249,0.000000,0.000000,0.000000,0.067981,0.000026,0.000761,0.000000,0.000000,0.000000
1603674483.659267,0.000000,0.000000,0.000000,0.039139,-0.000020,-0.001008,0.000000,0.000000,0.000000
1603674483.759201,0.000000,0.000000,0.000000,-0.051693,-0.000098,0.003792,0.000000,0.000000,0.000000
1603674483.859215,0.000000,0.000000,0.000000,-0.051693,-0.000098,0.003792,0.000000,0.000000,0.000000
1603674483.959218,0.000000,0.000000,0.000000,0.058325,-0.000404,-0.013864,0.000000,0.000000,0.000000
1603674484.059206,0.000000,0.000000,0.000000,0.058325,-0.000404,-0.013864,0.000000,0.000000,0.000000
1603674484.159249,0.000000,0.000000,0.000000,0.009357,0.000073,0.015560,0.000000,0.000000,0.000000
1603674484.259290,0.000000,0.000000,0.000000,0.009357,0.000073,0.015560,0.000000,0.000000,0.000000
1603674484.359226,0.000000,0.000000,0.000000,0.012582,-0.000083,-0.013262,0.000000,0.000000,0.000000
1603674484.459185,0.000000,0.000000,0.000000,0.012582,-0.000083,-0.013262,0.000000,0.000000,0.000000
1603674484.559269,0.000000,0.000000,0.000000,-0.095835,-0.001490,0.031089,0.000000,0.000000,0.000000
1603674484.659269,0.000000,0.000000,0.000000,0.040566,-0.000477,-0.023531,0.000000,0.000000,0.000000
1603674484.759216,0.000000,0.000000,0.000000,-0.026349,-0.000080,0.006072,0.000000,0.000000,0.000000
1603674484.859317,0.000000,0.000000,0.000000,0.047502,-0.000082,-0.003465,0.000000,0.000000,0.000000
1603674484.959272,0.200000,0.000000,0.000000,0.047502,-0.000082,-0.003465,0.000000,0.000000,0.000000
1603674485.059273,0.200000,0.000000,0.000000,0.022021,-0.000200,-0.018193,0.000000,0.000000,0.000000
1603674485.159331,0.200000,0.000000,0.000000,-0.065459,-0.000292,0.008922,0.000000,0.000000,0.000000
1603674485.259202,0.200000,0.000000,0.000000,-0.065459,-0.000292,0.008922,0.106830,0.000000,0.048838
1603674485.359253,0.200000,0.000000,0.000000,-0.065459,-0.000292,0.008922,0.235787,0.000000,0.053847
1603674485.459233,0.200000,0.000000,0.000000,0.084460,-0.000414,-0.009809,0.327390,0.000000,0.017532
1603674485.559258,0.200000,0.000000,0.000000,0.084460,-0.000414,-0.009809,0.359845,0.000000,0.019832
1603674485.659275,0.200000,0.000000,0.000000,0.291793,0.001592,0.010913,0.347138,0.000000,0.028802
1603674485.759250,0.200000,0.000000,0.000000,0.317394,0.008458,0.053283,0.301693,0.000000,0.037568
