Tiempo,target_lineal_x,target_lineal_y,target_w,odom_lineal_x,odom_lineal_y,odom_w,enc_lineal_x,enc_lineal_y,enc_w
1601917392.640746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1601917392.728362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1601917392.828324,0.000000,0.000000,0.000000,-0.002428,-0.000007,0.005577,0.000000,0.000000,0.000000
1601917392.933251,0.000000,0.000000,0.000000,0.014021,0.000045,0.006420,0.000000,0.000000,0.000000
1601917393.028590,0.000000,0.000000,0.000000,0.014021,0.000045,0.006420,0.000000,0.000000,0.000000
1601917393.129232,0.000000,0.000000,0.000000,-0.056582,0.000573,-0.020267,0.000000,0.000000,0.000000
1601917393.229046,0.000000,0.000000,0.000000,-0.056582,0.000573,-0.020267,0.000000,0.000000,0.000000
1601917393.328425,0.000000,0.000000,0.000000,-0.041539,0.000297,-0.014310,0.000000,0.000000,0.000000
1601917393.428376,0.000000,0.000000,0.000000,-0.041539,0.000297,-0.014310,0.000000,0.000000,0.000000
1601917393.528328,0.000000,0.000000,0.000000,-0.035503,0.000388,-0.021866,0.000000,0.000000,0.000000
1601917393.628329,0.200000,0.000000,0.000000,0.088440,0.000734,0.016591,0.000000,0.000000,0.000000
1601917393.728828,0.200000,0.000000,0.000000,0.002250,0.000004,0.003935,0.102645,0.000000,0.077176
1601917393.828576,0.200000,0.000000,0.000000,0.002250,0.000004,0.003935,0.287490,0.000000,0.106014
1601917393.929075,0.200000,0.000000,0.000000,0.001414,0.000014,0.019798,0.390597,0.000000,0.000000
1601917394.028640,0.200000,0.000000,0.000000,0.001414,0.000014,0.019798,0.295228,0.000000,-0.038604
1601917394.129396,0.200000,0.000000,0.000000,0.405301,0.007437,0.036693,0.270836,0.000000,0.038526
1601917394.228488,0.200000,0.000000,0.000000,0.405301,0.007437,0.036693,0.267318,0.000000,0.077093
1601917394.328791,0.200000,0.000000,0.000000,0.240403,-0.005882,-0.048927,0.263585,0.000000,-0.028902
1601917394.428904,0.200000,0.000000,0.000000,0.240403,-0.005882,-0.048927,0.264495,0.000000,-0.033718
1601917394.528369,0.200000,0.000000,0.000000,0.229406,0.001145,0.009982,0.259541,0.000000,0.024134
1601917394.628349,0.200000,0.000000,0.000000,0.229406,0.001145,0.009982,0.237921,0.000000,-0.019265
1601917394.729051,0.200000,0.000000,0.000000,0.300288,-0.005213,-0.034717,0.234757,0.000000,-0.028959
1601917394.828967,0.200000,0.000000,0.000000,0.300288,-0.005213,-0.034717,0.219424,0.000000,0.009624
1601917394.929234,0.200000,0.000000,0.000000,0.275696,0.002758,0.020009,0.200314,0.000000,0.014442
1601917395.028903,0.200000,0.000000,0.000000,0.275696,0.002758,0.020009,0.203014,0.000000,-0.009626
1601917395.128983,0.200000,0.000000,0.000000,0.261274,-0.000021,-0.000158,0.230736,0.000000,-0.004838
1601917395.228606,0.200000,0.000000,0.000000,0.261274,-0.000021,-0.000158,0.256419,0.000000,0.000000
1601917395.328404,0.200000,0.000000,0.000000,0.227374,0.001156,0.010171,0.257846,0.000000,0.009625
1601917395.428392,0.200000,0.000000,0.000000,0.227374,0.001156,0.010171,0.253903,0.000000,0.014473
1601917395.529015,0.200000,0.000000,0.000000,0.337937,-0.004451,-0.026341,0.247091,0.000000,0.000000
1601917395.629142,0.200000,0.000000,0.000000,0.264295,0.000814,0.006161,0.242933,0.000000,0.033774
1601917395.728900,0.200000,0.000000,0.000000,0.219726,0.004802,0.043698,0.249734,0.000000,0.014444
1601917395.828534,0.200000,0.000000,0.000000,0.219726,0.004802,0.043698,0.253759,0.000000,0.004822
1601917395.929027,0.200000,0.000000,0.000000,0.280003,-0.003075,-0.021965,0.244368,0.000000,-0.014451
1601917396.028962,0.200000,0.000000,0.000000,0.280003,-0.003075,-0.021965,0.241735,0.000000,0.019277
1601917396.128315,0.200000,0.000000,0.000000,0.276634,0.002107,0.015234,0.235688,0.000000,0.019232
1601917396.228310,0.200000,0.000000,0.000000,0.264614,-0.000776,-0.005862,0.233429,0.000000,-0.029021
1601917396.328830,0.200000,0.000000,0.000000,0.243672,0.000707,0.005800,0.237790,0.000000,-0.009627
1601917396.428543,0.200000,0.000000,0.000000,0.163531,-0.002990,-0.036563,0.246422,0.000000,0.024107
1601917396.528281,0.200000,0.000000,0.000000,0.163531,-0.002990,-0.036563,0.247359,0.000000,-0.014412
1601917396.629037,0.200000,0.000000,0.000000,0.311161,0.002209,0.014201,0.229626,0.000000,-0.009668
1601917396.728572,0.200000,0.000000,0.000000,0.311161,0.002209,0.014201,0.236256,0.000000,0.000000
1601917396.828343,0.200000,0.000000,0.000000,0.232783,-0.000410,-0.003522,0.251131,0.000000,-0.019295
1601917396.929195,0.200000,0.000000,0.000000,0.272535,-0.000022,-0.000160,0.257186,0.000000,0.024086
1601917397.028439,0.000000,0.000000,0.000000,0.272535,-0.000022,-0.000160,0.240827,0.000000,0.014458
1601917397.128390,0.000000,0.000000,0.000000,0.269875,0.002190,0.016232,0.204161,0.000000,-0.028782
1601917397.228295,0.000000,0.000000,0.000000,0.269875,0.002190,0.016232,0.131372,0.000000,-0.014506
1601917397.328863,0.000000,0.000000,0.000000,0.188357,0.003440,0.036522,0.075922,0.000000,0.062586
1601917397.428586,0.000000,0.000000,0.000000,0.188357,0.003440,0.036522,0.021983,0.000000,0.038566
1601917397.528343,0.000000,0.000000,0.000000,0.144044,0.001656,0.022994,0.000914,0.000000,0.004811
1601917397.629191,0.000000,0.000000,0.000000,0.144044,0.001656,0.022994,0.000000,0.000000,0.000000
1601917397.728787,0.000000,0.000000,0.000000,0.009459,0.000008,0.001642,0.000000,0.000000,0.000000
1601917397.828455,0.000000,0.000000,0.000000,-0.043533,-0.000045,0.002086,0.000000,0.000000,0.000000
1601917397.928355,0.000000,0.000000,0.000000,-0.043533,-0.000045,0.002086,0.000000,0.000000,0.000000
1601917398.028356,0.000000,0.000000,0.000000,0.115183,0.000816,0.014166,0.000000,0.000000,0.000000
1601917398.128322,0.000000,0.000000,0.000000,0.115183,0.000816,0.014166,0.000000,0.000000,0.000000
1601917398.228765,0.000000,0.000000,0.000000,-0.056370,0.000045,-0.001606,0.000000,0.000000,0.000000
1601917398.329566,0.000000,0.000000,0.000000,-0.056370,0.000045,-0.001606,0.000000,0.000000,0.000000
1601917398.428487,0.000000,0.000000,0.000000,0.000172,0.000000,0.000209,0.000000,0.000000,0.000000
1601917398.528402,0.000000,0.000000,0.000000,0.000172,0.000000,0.000209,0.000000,0.000000,0.000000
1601917398.628976,0.000000,0.000000,0.000000,0.013043,0.000058,0.008885,0.000000,0.000000,0.000000
1601917398.728550,0.000000,0.000000,0.000000,-0.039602,0.000321,-0.016211,0.000000,0.000000,0.000000
1601917398.828369,0.000000,0.000000,0.000000,0.038707,0.000149,0.007682,0.000000,0.000000,0.000000
1601917398.929072,0.000000,0.000000,0.000000,0.038707,0.000149,0.007682,0.000000,0.000000,0.000000
1601917399.028999,0.000000,0.000000,0.000000,0.012971,-0.000049,-0.007517,0.000000,0.000000,0.000000
1601917399.129508,0.000000,0.000000,0.000000,-0.021679,-0.000078,0.007232,0.000000,0.000000,0.000000
1601917399.228661,0.000000,0.000000,0.000000,-0.021679,-0.000078,0.007232,0.000000,0.000000,0.000000
1601917399.331324,0.000000,0.000000,0.000000,0.011908,-0.000016,-0.002629,0.000000,0.000000,0.000000
1601917399.428569,0.000000,0.000000,0.000000,0.011908,-0.000016,-0.002629,0.000000,0.000000,0.000000
1601917399.528422,0.000000,0.000000,0.000000,0.002209,0.000008,0.007032,0.000000,0.000000,0.000000
1601917399.628392,0.000000,0.000000,0.000000,0.002209,0.000008,0.007032,0.000000,0.000000,0.000000
1601917399.729261,0.000000,0.000000,0.000000,-0.028710,0.000207,-0.014414,0.000000,0.000000,0.000000
1601917399.829078,0.000000,0.000000,0.000000,-0.028710,0.000207,-0.014414,0.000000,0.000000,0.000000
1601917399.928414,0.000000,0.000000,0.000000,-0.004798,0.000038,-0.015799,0.000000,0.000000,0.000000
